"","Index","Experiment","b3_int","SE_int","b3_int_fastest","SE_int_fastest","b3_int_item","SE_int_item","b3_int_fastest_item","SE_int_fastest_item","n.trials","nb_participants","cor_est_slowest","cor_est_fastest","cor_est_sem_mean","cor_est_slowest_item","cor_est_fastest_item","cor_est_sem_mean_item","mean_trials_p","min_trials_p","num_items","quantile1","SE_quantile1","quantile2","SE_quantile2","quantile3","SE_quantile3","quantile4","SE_quantile4","quantile5","SE_quantile5","int_quant_sem","SE_int_quant_sem","meanRT","mean.slope","mean.slope_fastest"
"34",34,"Rodriguez.2014",7.86,27.09,57.84,21.13,NA,NA,NA,NA,519,56,-0.0848623240667206,0.407562035030018,0.377921126343555,0.454567359071391,0.33699165535965,0.0278902591359239,9.27,7,20,49.85,19.08,70.46,24.16,93.39,26.92,96.38,26.94,112.74,34.46,15.32,6.87,954.585741811175,-0.012824971584738,0.121642551707959
"35",35,"Roelofs.2008.3",29.73,36.33,-16.08,29.27,NA,NA,NA,NA,538,14,0.332489590734398,-0.231707798337343,-0.00554220121298386,0.29020651167067,0.632771328617736,0.21481831856078,38.43,35,20,45.77,26.72,15.38,17.99,26.47,20.67,38.1,25.89,57.82,58.05,3.92,8.34,930.808550185874,0.0232878987159839,-0.226663407224553
"36",36,"Sailor.2009.1.SOA-150",30.62,19.66,37,21.89,NA,NA,NA,NA,1412,24,0.414186239869088,0.350736564819033,0.313307842143904,0.549106075269712,0.527679629450185,0.0858253216077505,58.83,56,30,0.06,8.8,5.31,9.5,12.83,11.21,30.19,13.84,81.61,34.22,16.76,5.01,797.597025495751,0.230981817659998,0.086220909447886
"37",37,"Sailor.2009.1.SOA150",17.88,26.26,22.32,29,NA,NA,NA,NA,1406,24,0.183258023955315,0.213048060731808,0.27644352709825,0.551307231243413,0.528492933725615,0.0823471206195438,58.58,54,30,0.13,10.33,-1.3,11.93,-1.18,12.74,5.72,13.94,14.75,42.32,3.45,5.32,707.960881934566,0.102187072197573,-0.0478858339736703
"38",38,"Sailor.2009.2.SOA0",42.16,11.9,-5.06,22.83,NA,NA,NA,NA,1395,24,0.69641977677632,-0.0742020149508307,0.452134772245089,0.549120935000985,0.522817661349436,0.0854066591521916,58.12,54,30,11.49,6.4,14.4,6.81,18.28,7.86,26.77,9.21,-1.77,41.68,2.45,4.16,679.673835125448,0.0449480581463487,0.034126143462566
"39",39,"Scaltritti.2015.1",49.41,22.61,38.87,26.93,NA,NA,NA,NA,5408,24,0.438799232544976,0.382146440547497,0.0638034234109342,0.676587288560422,0.242794906669708,0.256094034890089,225.33,205,60,10.55,4.79,19.36,5.09,32.85,6.59,49.69,9.06,54.54,17.3,12.73,2.9,832.274963017751,0.0535217684626395,0.108977408641388
"40",40,"Scaltritti.2015.3",42.95,12.88,-15.74,21.64,NA,NA,NA,NA,5420,24,0.666452434928268,-0.140805684735038,0.264700019895318,0.673479556251591,0.250761061161218,0.253158407633331,225.83,213,60,8.81,3.04,9.11,2.89,14.33,3.54,21.23,4.74,51.84,12.89,9.7,1.76,719.693357933579,0.170748400764239,0.0127990899385077
"41",41,"Shao.2015.Exp.1",63.2,13.81,-8.67,32.86,NA,NA,NA,NA,4536,24,0.749506200446702,-0.0668709802400758,0.478447903856913,0.649259858382905,0.364429562854931,0.0860196062922465,189,183,16,1.05,5.53,13.41,5.62,17.6,5.88,28.86,6.42,64.71,20.79,14.86,2.82,674.556371252205,0.195360845832382,0.161590794806997
"42",42,"Shao.2015.Exp.2",56.08,20.72,42.83,30.57,NA,NA,NA,NA,4575,24,0.646989655520055,0.43157951046114,0.324768192765139,0.648860778654882,0.36325372865323,0.0863087866262763,190.62,187,16,9.81,5.14,17.69,5.39,18.55,5.58,34.21,5.72,94.66,15.33,17.97,2.38,769.236008743169,0.259040437646436,0.116739051614462
"43",43,"Starreveld.2013.1.SOA0",34.85,15.18,19.31,17.72,NA,NA,NA,NA,1663,20,0.547458436235565,0.228904373907105,0.0680608318662703,0.404091383362675,0.428246570486502,-0.231325100803322,83.15,76,22,5.54,5.2,13.91,6.48,18.74,7.14,20.27,8.92,60.85,20.74,11.31,3.08,705.20926037282,0.265458191270805,0.165309571145944
"44",44,"Starreveld.2013.1.SOA43",41.89,12.2,-13.41,19.93,NA,NA,NA,NA,1644,20,0.750796136716503,-0.101183279511394,0.615637105032665,0.407474554971725,0.429727714454266,-0.22621997265871,82.2,74,22,2.51,6.08,11.01,6.57,18.62,7.18,26.36,10,63.96,30.38,14.15,3.94,672.689172749392,0.130640597458949,0.10684712338712
"45",45,"Starreveld.2013.1.SOA86",30.15,20.69,48.41,23.29,NA,NA,NA,NA,1650,20,0.475468643912319,0.498767628066812,-0.0726599942324601,0.397293354536638,0.435097324214134,-0.221659354610755,82.5,74,22,-2.93,6.36,-4.78,6.79,2.97,8.09,12.84,10.38,36.14,20.16,9.36,3.27,617.050909090909,0.0991733352214293,-0.0095764147268944
"46",46,"Starreveld.2013.1.SOAminus43",58.27,18.94,11.88,20.45,NA,NA,NA,NA,1653,20,0.826209777191292,0.144029991211671,-0.1144637943752,0.402227400106871,0.428617977495995,-0.211733694214905,82.65,75,22,7.99,5.27,12.82,5.54,15.42,5.96,17.52,9.55,39.65,32.84,5.63,4.55,668.653962492438,0.0256143917883032,0.0831044519272608
"47",47,"Starreveld.2013.1.SOAminus86",62.7,14.51,45.92,40.2,NA,NA,NA,NA,1667,20,0.773848947191378,0.252744250210916,0.0961637088924757,0.393773673278283,0.437573887491484,-0.22111807000502,83.35,78,22,3.15,4.82,8.37,5.26,8.4,5.85,16.98,9.1,23.45,26.02,5.09,3.39,655.344331133773,0.025795212901065,0.114694368341253
"48",48,"vanRijn.unpublished",124.55,31.73,15.49,48.85,NA,NA,NA,NA,1122,29,0.693484863902166,0.0889320589236487,-0.226392064155824,0.297422809599961,0.643568906897098,0.211644268263329,38.69,36,20,-0.6,18.23,0.84,18.77,11.83,19.91,24.69,24.64,-51.65,68.21,1.3,9.33,1183.84456327986,0.0240214889259241,0.0280390283578375
"49",49,"Vieth.2014.SOA-160",34.93,17.89,60.44,34.6,NA,NA,NA,NA,1841,25,0.398508912689567,0.459059562673807,0.255721946564329,0.435351400378637,0.2300138573709,-0.0053228984759726,73.64,69,20,0.62,8.88,11.61,7.75,18.62,11.23,28.62,12.65,48.92,24.38,12.32,4.23,768.793047256926,0.191826572925461,0.113539645164153
"50",50,"Vieth.2014.SOA0",67.43,15.37,12.29,29.99,NA,NA,NA,NA,1867,25,0.702049011448672,0.2668418463031,-0.271413688655513,0.434248098780646,0.215661691559827,0.00341534261536802,74.68,66,20,2.04,10.03,14.73,8.81,13.36,9.63,13.96,12.96,27.54,30.35,5.73,5.44,800.36368505624,0.0949700452690086,0.137639753172102
"51",51,"Zhang.2016.1.SOA-100",50.96,16.86,-16.64,29.76,NA,NA,NA,NA,1161,28,0.697900167082804,-0.169502042803457,-0.00726102497581333,0.374793474803303,0.2239178489154,0.432473871293204,41.46,38,21,0.78,11.2,5.67,11.68,14.62,11.35,29.26,11.4,54.71,41.49,13.17,5.47,711.236864771749,0.2452136059798,0.143938608007483
"52",52,"Zhang.2016.1.SOA0",61.37,23.74,3.52,22.73,NA,NA,NA,NA,1096,28,0.673151721675899,0.0271346142082701,0.264444105903764,0.256476169117272,0.163804545357631,0.429120640972223,39.14,34,20,4.26,14.9,13.54,15.14,19.18,15.38,24.02,15.1,95.29,64.78,15.04,7.2,750.021897810219,0.11141681234488,0.0987353747361658
"53",53,"Zhang.2016.1.SOA100",18.64,18.76,15.09,18.97,NA,NA,NA,NA,1126,28,0.311490765660488,0.371465385085747,-0.193167627802701,0.372336265293157,0.224009244393437,0.43610680398968,40.21,35,21,10.66,9.64,-3.31,7.66,-2.37,9.45,8.71,11.97,21.06,21.16,2.42,3.64,739.769094138544,0.0344458223730044,-0.147336786645077
"54",54,"Zhang.2016.2.SOA0",-27.13,23.88,19.83,19.56,NA,NA,NA,NA,1155,30,-0.341755278973206,0.249490141492167,0.378425740660402,0.295138286069848,0.19983998342441,0.39861934229235,38.5,35,26,-0.6,10.4,-10.02,13.83,-0.62,13.75,17.2,11.43,26.11,17.77,9.91,2.69,703.748917748918,0.13073987895693,-0.058985510511089
